analysis_set,dataset,dataset_short,subject_index,n_obs,best_AIC,best_BIC,runnerup_delta_BIC,max_BIC_weight,NLL_CostToSample,AIC_CostToSample,BIC_CostToSample,BIC_weight_CostToSample,NLL_CutOff,AIC_CutOff,BIC_CutOff,BIC_weight_CutOff,NLL_BiasedPrior,AIC_BiasedPrior,BIC_BiasedPrior,BIC_weight_BiasedPrior
face_2,Facial attractiveness dataset 2,face_2,1,34,Cut off,Cut off,0.892371111850196,0.484165988606311,10.5930031878307,25.1860063756614,28.2387274248938,0.309897700200124,10.1468176319056,24.2936352638112,27.3463563130436,0.484165988606311,11.00167847947,26.0033569589399,29.0560780081723,0.205936311193565
face_2,Facial attractiveness dataset 2,face_2,2,25,Biased prior,Biased prior,3.20226584512496,0.828595293242433,7.33260507366458,18.6652101473292,21.1029617970656,0.167101084664616,10.9917469850336,25.9834939700671,28.4212456198035,0.00430362209295088,5.7314721511021,15.4629443022042,17.9006959519406,0.828595293242433
face_2,Facial attractiveness dataset 2,face_2,3,27,Biased prior,Biased prior,0.123277301735474,0.360381113969838,9.29932363878944,22.5986472775789,25.1903210095875,0.338838458607009,9.41846658776186,22.8369331755237,25.4286069075324,0.300780427423152,9.2376849879217,22.4753699758434,25.0670437078521,0.360381113969838
face_2,Facial attractiveness dataset 2,face_2,4,37,Biased prior,Biased prior,5.86334784025999,0.932334571954233,9.39426386698684,22.7885277339737,26.0103635592621,0.0497006401310581,10.4118680648825,24.823736129765,28.0455719550534,0.0179647879147093,6.46258994685685,16.9251798937137,20.1470157190021,0.932334571954233
face_2,Facial attractiveness dataset 2,face_2,5,35,Biased prior,Biased prior,0.471759964516359,0.541539603051098,9.8045039539998,23.6090079079996,26.7197040309784,0.427748847029106,12.4384013686104,28.8768027372208,31.9874988601996,0.0307115499197957,9.56862397174162,23.1372479434832,26.2479440664621,0.541539603051098
face_2,Facial attractiveness dataset 2,face_2,6,40,Biased prior,Biased prior,2.25140481359114,0.754484123134919,2.14286251257512,8.28572502515024,11.6634839333781,0.244773141443877,7.9406097338349,19.8812194676698,23.2589783758977,0.000742735421204316,1.01716010577955,6.03432021155909,9.41207911978697,0.754484123134919
face_2,Facial attractiveness dataset 2,face_2,7,28,Biased prior,Biased prior,1.40365026229211,0.667488972295394,4.23321034897195,12.4664206979439,15.1308297182943,0.330860798335449,9.53399379719636,23.0679875943927,25.7323966147431,0.00165022936915718,3.53138521782589,11.0627704356518,13.7271794560022,0.667488972295394
face_2,Facial attractiveness dataset 2,face_2,8,25,Biased prior,Biased prior,0.788415627414665,0.523658311177092,8.12098351800106,20.2419670360021,22.6797186857385,0.35305772836666,9.17312478181774,22.3462495636355,24.7840012133719,0.123283960456248,7.72677570429373,19.4535514085875,21.8913030583239,0.523658311177092
face_2,Facial attractiveness dataset 2,face_2,9,29,Biased prior,Biased prior,2.50186866640549,0.716064419416486,10.5989837232908,25.1979674465817,27.9325591065546,0.0789712840000435,9.64523221504488,23.2904644300898,26.0250560900627,0.20496429658347,8.39429788184214,20.7885957636843,23.5231874236572,0.716064419416486
face_2,Facial attractiveness dataset 2,face_2,10,19,Biased prior,Biased prior,0.00349805920885871,0.458992897402284,9.23968757131074,22.4793751426215,24.3682531009544,0.458190806881011,10.9503484273782,25.9006968547565,27.7895748130894,0.0828162957167052,9.23793854170632,22.4758770834126,24.3647550417455,0.458992897402284
face_2,Facial attractiveness dataset 2,face_2,11,22,Biased prior,Biased prior,0.901790617197882,0.590445766191318,8.0098272290934,20.0196544581868,22.2017393649034,0.37614792325845,10.4310648872724,24.8621297745448,27.0442146812615,0.0334063105502323,7.55893192049446,19.1178638409889,21.2999487477055,0.590445766191318
face_2,Facial attractiveness dataset 2,face_2,12,22,Biased prior,Biased prior,1.00752340582096,0.602359849275006,9.41039947290285,22.8207989458057,25.0028838525223,0.363977961358002,11.7911175627568,27.5822351255135,29.7643200322302,0.0336621893669923,8.90663776999237,21.8132755399847,23.9953604467014,0.602359849275006
face_2,Facial attractiveness dataset 2,face_2,13,29,Biased prior,Biased prior,3.30562438043967,0.825147222743432,9.39482126012359,22.7896425202472,25.5242341802201,0.158024428526704,11.6345060034232,27.2690120068463,30.0036036668193,0.0168283487298634,7.74200906990376,19.4840181398075,22.2186097997805,0.825147222743432
face_2,Facial attractiveness dataset 2,face_2,14,23,Cut off,Cut off,2.97570332011205,0.744262565411949,12.1147005777845,28.2294011555691,30.5003895874274,0.168097173019531,10.6268489177285,25.253697835457,27.5246862673153,0.744262565411949,12.7660023015013,29.5320046030025,31.8029930348608,0.0876402615685202
face_2,Facial attractiveness dataset 2,face_2,15,42,Cut off,Cut off,0.327535548124175,0.526519183363686,7.7148850445512,19.4297700891024,22.9051093256691,0.0264980714539807,4.72566923302485,13.4513384660497,16.9266777026164,0.526519183363686,4.88943700708693,13.7788740141739,17.2542132507406,0.446982745182333
face_2,Facial attractiveness dataset 2,face_2,16,38,Biased prior,Biased prior,3.06413966184488,0.712291680316647,7.69515674411377,19.3903134882275,22.6654858076803,0.153917640893795,7.83529792406281,19.6705958481256,22.9457681675784,0.133790678789558,6.16308691319133,16.3261738263827,19.6013461458354,0.712291680316647
face_2,Facial attractiveness dataset 2,face_2,17,38,Cost to sample,Cost to sample,1.56526057522971,0.683424545377106,5.38216603409751,14.764332068195,18.0395043876478,0.683424545377106,10.4952550514688,24.9905101029377,28.2656824223905,0.00411248405230446,6.16479632171237,16.3295926434247,19.6047649628775,0.312462970570589
face_2,Facial attractiveness dataset 2,face_2,18,30,Biased prior,Biased prior,1.74338172114389,0.69000639650133,9.17874269867065,22.3574853973413,25.1598801606656,0.288590869108384,11.7802340168266,27.5604680336531,30.3628627969774,0.0214027343902861,8.3070518380987,20.6141036761974,23.4164984395217,0.69000639650133
face_2,Facial attractiveness dataset 2,face_2,19,38,Biased prior,Biased prior,4.8076893211468,0.86614161631252,7.49301296797434,18.9860259359487,22.2611982554015,0.0782730820227093,7.83529792406281,19.6705958481256,22.9457681675784,0.0555853016647705,5.08916830740094,14.1783366148019,17.4535089342547,0.86614161631252
