analysis_set,description,N_subject_rows,model_idx,model,k,sumNLL,sumAIC,sumBIC,dAIC,dBIC,group_wAIC,group_wBIC,n_bestAIC,n_bestBIC,summed_subject_BIC_weight,exp_r,xp,pxp,BOR,median_runnerup_delta_BIC,pct_runnerup_delta_BIC_gt2,pct_runnerup_delta_BIC_gt6,pct_runnerup_delta_BIC_gt10,mean_max_subject_BIC_weight
foods_vacations_all,Foods and vacations datasets pooled,215,1,Cost to sample,2,1629.23262597635,4118.46525195269,4616.19921059773,95.9737258508758,95.9737258508758,1.44401008921478e-21,1.44401008921478e-21,68,68,78.207655478935,0.234593856889392,0,3.00987977897492e-15,9.02963933692477e-15,1.23644646293756,33.953488372093,5.11627906976744,0.465116279069767,0.642606031591154
foods_vacations_all,Foods and vacations datasets pooled,215,2,Cut off,2,2115.38106750931,5090.76213501863,5588.49609366366,1068.27060891681,1068.27060891681,1.0665585068992e-232,1.06655850689823e-232,35,35,34.2011754212231,0.0491532920883809,0,3.00987977897492e-15,9.02963933692477e-15,1.23644646293756,33.953488372093,5.11627906976744,0.465116279069767,0.642606031591154
foods_vacations_all,Foods and vacations datasets pooled,215,3,Biased prior,2,1581.24576305091,4022.49152610182,4520.22548474685,0,0,1,1,112,112,102.591169099842,0.716252851022227,1,0.999999999999994,9.02963933692477e-15,1.23644646293756,33.953488372093,5.11627906976744,0.465116279069767,0.642606031591154
