analysis_set,description,N_subject_rows,model_idx,model,k,sumNLL,sumAIC,sumBIC,dAIC,dBIC,group_wAIC,group_wBIC,n_bestAIC,n_bestBIC,summed_subject_BIC_weight,exp_r,xp,pxp,BOR,median_runnerup_delta_BIC,pct_runnerup_delta_BIC_gt2,pct_runnerup_delta_BIC_gt6,pct_runnerup_delta_BIC_gt10,mean_max_subject_BIC_weight
faces_all,Facial attractiveness datasets 1-3 pooled,127,1,Cost to sample,2,1613.02063065322,3734.04126130643,4153.15659304626,311.188597154508,311.188597154508,2.66842322715657e-68,2.66842322715657e-68,22,22,32.1761916437081,0.023777445469799,0,2.83342099213596e-22,8.50026297640788e-22,2.37690808660939,55.9055118110236,8.66141732283465,3.93700787401575,0.699060183722791
faces_all,Facial attractiveness datasets 1-3 pooled,127,2,Cut off,2,2048.84575526829,4605.69151053658,5024.8068422764,1182.83884638465,1182.83884638465,1.41191326078309e-257,1.41191326078342e-257,15,15,17.3591080140489,0.0210692006117546,0,2.83342099213596e-22,8.50026297640788e-22,2.37690808660939,55.9055118110236,8.66141732283465,3.93700787401575,0.699060183722791
faces_all,Facial attractiveness datasets 1-3 pooled,127,3,Biased prior,2,1457.42633207596,3422.85266415193,3841.96799589175,0,0,1,1,90,90,77.464700342243,0.955153353918446,1,1,8.50026297640788e-22,2.37690808660939,55.9055118110236,8.66141732283465,3.93700787401575,0.699060183722791
