analysis_set,description,N_subject_rows,model_idx,model,k,sumNLL,sumAIC,sumBIC,dAIC,dBIC,group_wAIC,group_wBIC,n_bestAIC,n_bestBIC,summed_subject_BIC_weight,exp_r,xp,pxp,BOR,median_runnerup_delta_BIC,pct_runnerup_delta_BIC_gt2,pct_runnerup_delta_BIC_gt6,pct_runnerup_delta_BIC_gt10,mean_max_subject_BIC_weight
vacations_1,Vacations dataset 1,75,1,Cost to sample,2,606.07304487074,1512.14608974148,1687.95434888042,86.3771150778973,86.3771150778966,1.75165179906902e-19,1.75165179906962e-19,15,15,22.0453128187114,0.0859404021931344,0,8.24646665548828e-06,2.47393999664648e-05,1.66647864644017,44,6.66666666666667,1.33333333333333,0.680334515540986
vacations_1,Vacations dataset 1,75,2,Cut off,2,773.249747342368,1846.49949468474,2022.30775382368,420.730520021152,420.730520021152,4.36042070586223e-92,4.36042070586223e-92,17,17,14.5414589436419,0.112062907467382,0,8.24646665548828e-06,2.47393999664648e-05,1.66647864644017,44,6.66666666666667,1.33333333333333,0.680334515540986
vacations_1,Vacations dataset 1,75,3,Biased prior,2,562.884487331792,1425.76897466358,1601.57723380252,0,0,1,1,43,43,38.4132282376468,0.801996690339483,1,0.999983507066689,2.47393999664648e-05,1.66647864644017,44,6.66666666666667,1.33333333333333,0.680334515540986
