Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551790554063,05/03/2019 12:55:54,1551790554280,0,05/03/2019 12:55:54,6235,15,questionnaire-hbms,,2266535,BLIND,618275,Holiday destinations,complete,,5c7e6fa6223ba10001f682f0,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x969,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551790557018,05/03/2019 12:55:57,1551790557285,0,05/03/2019 12:55:57,6235,15,questionnaire-hbms,,2266535,BLIND,618275,Holiday destinations,complete,,5c7e6fa6223ba10001f682f0,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x969,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,3005
1,1551790564289,05/03/2019 12:56:04,1551790564200,0,05/03/2019 12:56:04,6235,15,questionnaire-hbms,,2266539,BLIND,618266,Holiday destinations,complete,,5c7e6edc4153080019b6ce72,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551790818917,05/03/2019 13:00:18,1551790818665,0,05/03/2019 13:00:18,6235,15,questionnaire-hbms,,2266539,BLIND,618266,Holiday destinations,complete,,5c7e6edc4153080019b6ce72,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,254466
1,1551790771878,05/03/2019 12:59:31,1551790790124,0,05/03/2019 12:59:50,6235,15,questionnaire-hbms,,2266569,BLIND,618248,Holiday destinations,complete,,5c7e6d92af81d100017cafb9,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x754,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551790820285,05/03/2019 13:00:20,1551790838554,0,05/03/2019 13:00:38,6235,15,questionnaire-hbms,,2266569,BLIND,618248,Holiday destinations,complete,,5c7e6d92af81d100017cafb9,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x754,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,48430
1,1551791047101,05/03/2019 13:04:07,1551791044500,0,05/03/2019 13:04:04,6235,15,questionnaire-hbms,,2266619,BLIND,618299,Holiday destinations,complete,,5c7e718d9c3fc00016f4e53b,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1511x907,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791088443,05/03/2019 13:04:48,1551791085878,0,05/03/2019 13:04:45,6235,15,questionnaire-hbms,,2266619,BLIND,618299,Holiday destinations,complete,,5c7e718d9c3fc00016f4e53b,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1511x907,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,41378
1,1551791109660,05/03/2019 13:05:09,1551791279861,0,05/03/2019 13:07:59,6235,15,questionnaire-hbms,,2266628,BLIND,618277,Holiday destinations,complete,,5c7e6e10f123b3000122c023,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1536x864,1434x718,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791118524,05/03/2019 13:05:18,1551791288804,0,05/03/2019 13:08:08,6235,15,questionnaire-hbms,,2266628,BLIND,618277,Holiday destinations,complete,,5c7e6e10f123b3000122c023,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1536x864,1434x718,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,8943
1,1551791183739,05/03/2019 13:06:23,1551791183361,0,05/03/2019 13:06:23,6235,15,questionnaire-hbms,,2266641,BLIND,618287,Holiday destinations,complete,,5c7e711248022a0017754f38,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,2048x1152,2048x1042,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791233887,05/03/2019 13:07:13,1551791233528,0,05/03/2019 13:07:13,6235,15,questionnaire-hbms,,2266641,BLIND,618287,Holiday destinations,complete,,5c7e711248022a0017754f38,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,2048x1152,2048x1042,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,50168
1,1551791199120,05/03/2019 13:06:39,1551791199881,0,05/03/2019 13:06:39,6235,15,questionnaire-hbms,,2266647,BLIND,618282,Holiday destinations,complete,,5c7e70c508c401001422b58a,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791233136,05/03/2019 13:07:13,1551791233852,0,05/03/2019 13:07:13,6235,15,questionnaire-hbms,,2266647,BLIND,618282,Holiday destinations,complete,,5c7e70c508c401001422b58a,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,33972
1,1551791386991,05/03/2019 13:09:46,1551791383876,0,05/03/2019 13:09:43,6235,15,questionnaire-hbms,,2266699,BLIND,618283,Holiday destinations,complete,,5c7e70cb08c401001522b59b,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1366x768,732x647,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791407455,05/03/2019 13:10:07,1551791404265,0,05/03/2019 13:10:04,6235,15,questionnaire-hbms,,2266699,BLIND,618283,Holiday destinations,complete,,5c7e70cb08c401001522b59b,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1366x768,732x647,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,20390
1,1551791403939,05/03/2019 13:10:03,1551791403805,0,05/03/2019 13:10:03,6235,15,questionnaire-hbms,,2266708,BLIND,618320,Holiday destinations,complete,,5c7e72d0223ba10001f68309,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,958x927,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791464709,05/03/2019 13:11:04,1551791464488,0,05/03/2019 13:11:04,6235,15,questionnaire-hbms,,2266708,BLIND,618320,Holiday destinations,complete,,5c7e72d0223ba10001f68309,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,958x927,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,60684
1,1551791639860,05/03/2019 13:13:59,1551791638622,0,05/03/2019 13:13:58,6235,15,questionnaire-hbms,,2266778,BLIND,618316,Holiday destinations,complete,,5c7e726af6888d001672a29a,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791664413,05/03/2019 13:14:24,1551791663204,0,05/03/2019 13:14:23,6235,15,questionnaire-hbms,,2266778,BLIND,618316,Holiday destinations,complete,,5c7e726af6888d001672a29a,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,24582
1,1551791727065,05/03/2019 13:15:27,1551791736180,0,05/03/2019 13:15:36,6235,15,questionnaire-hbms,,2266806,BLIND,618338,Holiday destinations,complete,,5c7e740350c93b001672e84e,computer,Desktop or Laptop,Linux x86_64,Chrome 72.0.3626.105,740x360,980x371,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791740646,05/03/2019 13:15:40,1551791749764,0,05/03/2019 13:15:49,6235,15,questionnaire-hbms,,2266806,BLIND,618338,Holiday destinations,complete,,5c7e740350c93b001672e84e,computer,Desktop or Laptop,Linux x86_64,Chrome 72.0.3626.105,740x360,980x371,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,13583
1,1551791747148,05/03/2019 13:15:47,1551791747424,0,05/03/2019 13:15:47,6235,15,questionnaire-hbms,,2266813,BLIND,618341,Holiday destinations,complete,,5c7e7453cd2fed00126e90ff,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 72.0.3626.109,1440x900,1440x789,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551791774681,05/03/2019 13:16:14,1551791775063,0,05/03/2019 13:16:15,6235,15,questionnaire-hbms,,2266813,BLIND,618341,Holiday destinations,complete,,5c7e7453cd2fed00126e90ff,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 72.0.3626.109,1440x900,1440x789,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,27639
1,1551791790919,05/03/2019 13:16:30,1551791786821,-5,05/03/2019 08:16:26,6235,15,questionnaire-hbms,,2266829,BLIND,618323,Holiday destinations,complete,,5c7e71f2cfd4e30014991899,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x969,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
