Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
5,1551788840380,05/03/2019 12:27:20,1551788839995,0,05/03/2019 12:27:19,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5,United Kingdom
6,1551788840380,05/03/2019 12:27:20,1551788839995,0,05/03/2019 12:27:19,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5-quantised,5
7,1551788840380,05/03/2019 12:27:20,1551788839995,0,05/03/2019 12:27:19,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5-text,
8,1551788840380,05/03/2019 12:27:20,1551788839995,0,05/03/2019 12:27:19,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,5694
1,1551789155530,05/03/2019 12:32:35,1551789154465,0,05/03/2019 12:32:34,6235,15,questionnaire-9o89,,2266314,BLIND,618236,Holiday destinations,complete,,5c7e6c1d212cc800017dd03f,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x632,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551789163500,05/03/2019 12:32:43,1551789162466,0,05/03/2019 12:32:42,6235,15,questionnaire-9o89,,2266314,BLIND,618236,Holiday destinations,complete,,5c7e6c1d212cc800017dd03f,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x632,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-3,19
3,1551789164265,05/03/2019 12:32:44,1551789162471,0,05/03/2019 12:32:42,6235,15,questionnaire-9o89,,2266314,BLIND,618236,Holiday destinations,complete,,5c7e6c1d212cc800017dd03f,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x632,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-4,Female
4,1551789164265,05/03/2019 12:32:44,1551789162472,0,05/03/2019 12:32:42,6235,15,questionnaire-9o89,,2266314,BLIND,618236,Holiday destinations,complete,,5c7e6c1d212cc800017dd03f,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x632,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-4-quantised,2
5,1551789164265,05/03/2019 12:32:44,1551789162472,0,05/03/2019 12:32:42,6235,15,questionnaire-9o89,,2266314,BLIND,618236,Holiday destinations,complete,,5c7e6c1d212cc800017dd03f,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x632,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5,United Kingdom
6,1551789164265,05/03/2019 12:32:44,1551789162473,0,05/03/2019 12:32:42,6235,15,questionnaire-9o89,,2266314,BLIND,618236,Holiday destinations,complete,,5c7e6c1d212cc800017dd03f,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x632,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5-quantised,5
