model_idx,sub_idx,configured_Cs,configured_BP,estimated_Cs,estimated_BP,configured_mean_samples
1,1,-5.5,-50,1.00925619986418,32.7785161600084,6.27
1,2,-5.5,-50,-0.784958775840721,24.5656137959956,6.27
1,3,-5.5,-50,-0.326777823368928,15.8873328908039,6.27
1,4,-5.5,-50,-1.93325682228271,30.7250671043151,6.27
1,5,-5.5,-50,-7.92642560414811,-31.9221961792894,6.27
1,6,-5.5,-50,-1.11713280502313,14.5524187892644,6.27
1,7,-5.5,-50,-6.24363913103714,-4.60678219942827,6.27
1,8,-5.5,-50,0.287581087494559,20.6699089383397,6.27
1,9,-5.5,-50,-7.6501366263994,-99.2335713576782,6.27
1,10,-5.5,-50,-1.37029754417969,38.1690974229477,6.27
1,11,-5.5,-50,-0.0610270538347777,32.882758321783,6.27
1,12,-5.5,-50,1.29471658363815,56.2090630081928,6.27
1,13,-5.5,-50,0.0605206562403851,18.9726281805035,6.27
1,14,-5.5,-50,1.55863853926448,52.6503878497871,6.27
1,15,-5.5,-50,-4.83313118943678,-12.5145892400427,6.27
1,16,-5.5,-50,-4.21553804221169,-19.7884386480854,6.27
1,17,-5.5,-50,-1.9229662903581,31.7367187557557,6.27
1,18,-5.5,-50,-1.51820208583153,27.6715811341937,6.27
1,19,-5.5,-50,-1.52792455935757,20.5223196007991,6.27
1,20,-5.5,-50,1.23945843817764,32.9902534992368,6.27
2,1,-3.375,-50,-1.28458629844211,-13.022829985954,5.32
2,2,-3.375,-50,-0.656652482379144,16.7730245876486,5.32
2,3,-3.375,-50,-0.326777823368928,15.8873328908039,5.32
2,4,-3.375,-50,-3.32987770552553,-80.2450493287745,5.32
2,5,-3.375,-50,-1.63009849568466,11.2160287851013,5.32
2,6,-3.375,-50,0.40689770845708,15.9688672780363,5.32
2,7,-3.375,-50,0.948526664873768,28.2048293732024,5.32
2,8,-3.375,-50,-4.89505764535613,-99.3742142271202,5.32
2,9,-3.375,-50,-3.24325319930531,-2.53573831822597,5.32
2,10,-3.375,-50,-3.03697014046747,-24.4795370236003,5.32
2,11,-3.375,-50,-3.5598135808533,-13.922958426315,5.32
2,12,-3.375,-50,2.45734181923638,58.8828614162411,5.32
2,13,-3.375,-50,6.66851696699801,59.6013204997084,5.32
2,14,-3.375,-50,-1.93333746855791,-8.81437837912218,5.32
2,15,-3.375,-50,-2.02443193289592,10.7140946400503,5.32
