Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,rand_food1,chosen food,not chosen food,rand_food2,rand_food3,rand_food4,rand_food5,rand_food6,rand_food7,rand_food8,image_food,Participant_preference,food_rating,random number,fixation_times
23,1551714922943,04/03/2019 15:55:22,1551714922675,-5,04/03/2019 10:55:22,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,16,congratulations,rating19,response_slider_endValue,2711,74,,0,1,0,,,,Spreadsheet1,,1,sequence,,b6.jpg,,,c6.jpg,b17.jpg,c17.jpg,b25.jpg,a25.jpg,c22.jpg,a30.jpg,,,,,
24,1551714923069,04/03/2019 15:55:23,1551714922677,-5,04/03/2019 10:55:22,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,16,congratulations,Zone4,continue_button,2711,,,0,1,0,,,,Spreadsheet1,,1,sequence,,b6.jpg,,,c6.jpg,b17.jpg,c17.jpg,b25.jpg,a25.jpg,c22.jpg,a30.jpg,,,,,
25,1551714924521,04/03/2019 15:55:24,1551714924218,-5,04/03/2019 10:55:24,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,17,next sequence?,advancementZone,continue_button,1539,,,0,1,0,,,,Spreadsheet1,,1,sequence,,b6.jpg,,,c6.jpg,b17.jpg,c17.jpg,b25.jpg,a25.jpg,c22.jpg,a30.jpg,,,,,
26,1551714926505,04/03/2019 15:55:26,1551714926225,-5,04/03/2019 10:55:26,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,1,option1,Zone1,response_button_text,1336,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
27,1551714927505,04/03/2019 15:55:27,1551714926785,-5,04/03/2019 10:55:26,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,2,option2,Zone1,response_button_text,550,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
28,1551714927693,04/03/2019 15:55:27,1551714927355,-5,04/03/2019 10:55:27,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,3,option3,Zone1,response_button_text,555,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
29,1551714929009,04/03/2019 15:55:29,1551714928729,-5,04/03/2019 10:55:28,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,4,option4,Zone7,response_button_image,1364,c10.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
30,1551714929927,04/03/2019 15:55:29,1551714929634,-5,04/03/2019 10:55:29,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,12,grey4,Zone1,continue_button,900,,,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
31,1551714930068,04/03/2019 15:55:30,1551714929797,-5,04/03/2019 10:55:29,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,13,grey5,Zone1,continue_button,156,,,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
32,1551714930240,04/03/2019 15:55:30,1551714929954,-5,04/03/2019 10:55:29,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,14,grey6,Zone1,continue_button,153,,,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
33,1551714930427,04/03/2019 15:55:30,1551714930120,-5,04/03/2019 10:55:30,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,15,grey7,Zone1,continue_button,161,,,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
34,1551714930618,04/03/2019 15:55:30,1551714930195,-5,04/03/2019 10:55:30,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,16,congratulations,rating19,response_slider_initialValue,0,50,,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
35,1551714932291,04/03/2019 15:55:32,1551714931927,-5,04/03/2019 10:55:31,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,16,congratulations,rating19,response_slider_endValue,1731,66,,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
