Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
6,1551711540838,04/03/2019 14:59:00,1551711539229,0,04/03/2019 14:58:59,6235,14,questionnaire-fkld,,2259974,BLIND,616226,Food,complete,,5c7d3ce41c3cf8001538a369,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1680x1050,1680x914,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5-quantised,5
7,1551711540838,04/03/2019 14:59:00,1551711539231,0,04/03/2019 14:58:59,6235,14,questionnaire-fkld,,2259974,BLIND,616226,Food,complete,,5c7d3ce41c3cf8001538a369,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1680x1050,1680x914,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5-text,
8,1551711540838,04/03/2019 14:59:00,1551711539234,0,04/03/2019 14:58:59,6235,14,questionnaire-fkld,,2259974,BLIND,616226,Food,complete,,5c7d3ce41c3cf8001538a369,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1680x1050,1680x914,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,8074
1,1551712009793,04/03/2019 15:06:49,1551712010054,0,04/03/2019 15:06:50,6235,14,questionnaire-fkld,,2260027,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551712016746,04/03/2019 15:06:56,1551712017122,0,04/03/2019 15:06:57,6235,14,questionnaire-fkld,,2260027,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-3,18
3,1551712016809,04/03/2019 15:06:56,1551712017124,0,04/03/2019 15:06:57,6235,14,questionnaire-fkld,,2260027,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-4,Male
4,1551712016809,04/03/2019 15:06:56,1551712017125,0,04/03/2019 15:06:57,6235,14,questionnaire-fkld,,2260027,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-4-quantised,1
5,1551712016809,04/03/2019 15:06:56,1551712017125,0,04/03/2019 15:06:57,6235,14,questionnaire-fkld,,2260027,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5,Ireland
6,1551712016809,04/03/2019 15:06:56,1551712017125,0,04/03/2019 15:06:57,6235,14,questionnaire-fkld,,2260027,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5-quantised,3
7,1551712016809,04/03/2019 15:06:56,1551712017126,0,04/03/2019 15:06:57,6235,14,questionnaire-fkld,,2260027,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5-text,
8,1551712016809,04/03/2019 15:06:56,1551712017126,0,04/03/2019 15:06:57,6235,14,questionnaire-fkld,,2260027,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,7072
1,1551712021693,04/03/2019 15:07:01,1551712022017,0,04/03/2019 15:07:02,6235,14,questionnaire-fkld,,2260029,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551712029571,04/03/2019 15:07:09,1551712029902,0,04/03/2019 15:07:09,6235,14,questionnaire-fkld,,2260029,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-3,19
3,1551712029633,04/03/2019 15:07:09,1551712029904,0,04/03/2019 15:07:09,6235,14,questionnaire-fkld,,2260029,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-4,Female
4,1551712029633,04/03/2019 15:07:09,1551712029904,0,04/03/2019 15:07:09,6235,14,questionnaire-fkld,,2260029,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-4-quantised,2
5,1551712029633,04/03/2019 15:07:09,1551712029905,0,04/03/2019 15:07:09,6235,14,questionnaire-fkld,,2260029,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5,United Kingdom
6,1551712029633,04/03/2019 15:07:09,1551712029906,0,04/03/2019 15:07:09,6235,14,questionnaire-fkld,,2260029,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5-quantised,5
7,1551712029633,04/03/2019 15:07:09,1551712029907,0,04/03/2019 15:07:09,6235,14,questionnaire-fkld,,2260029,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5-text,
8,1551712029633,04/03/2019 15:07:09,1551712029907,0,04/03/2019 15:07:09,6235,14,questionnaire-fkld,,2260029,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,7890
1,1551712113438,04/03/2019 15:08:33,1551712114033,0,04/03/2019 15:08:34,6235,14,questionnaire-fkld,,2260036,BLIND,616262,Food,complete,,5c7d3f21419dcc0016119bb6,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x609,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551712125127,04/03/2019 15:08:45,1551712125799,0,04/03/2019 15:08:45,6235,14,questionnaire-fkld,,2260036,BLIND,616262,Food,complete,,5c7d3f21419dcc0016119bb6,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x609,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-3,33
3,1551712125205,04/03/2019 15:08:45,1551712125803,0,04/03/2019 15:08:45,6235,14,questionnaire-fkld,,2260036,BLIND,616262,Food,complete,,5c7d3f21419dcc0016119bb6,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x609,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-4,Female
4,1551712125205,04/03/2019 15:08:45,1551712125804,0,04/03/2019 15:08:45,6235,14,questionnaire-fkld,,2260036,BLIND,616262,Food,complete,,5c7d3f21419dcc0016119bb6,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x609,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-4-quantised,2
5,1551712125205,04/03/2019 15:08:45,1551712125804,0,04/03/2019 15:08:45,6235,14,questionnaire-fkld,,2260036,BLIND,616262,Food,complete,,5c7d3f21419dcc0016119bb6,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x609,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5,United Kingdom
