Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,chosen face,not chosen face,rand_male_face1,rand_male_face2,rand_male_face3,rand_male_face4,rand_male_face5,rand_male_face6,rand_male_face7,rand_male_face8,image_male,Participant_preference,face_rating,random number,fixation_times
18,1551372297996,28/02/2019 16:44:57,1551372297698,0,28/02/2019 16:44:57,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,5,option5,Zone1,response_button_text,507.28499999968335,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
19,1551372298512,28/02/2019 16:44:58,1551372298305,0,28/02/2019 16:44:58,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,6,option6,Zone1,response_button_text,572.8699999999662,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
20,1551372299293,28/02/2019 16:44:59,1551372299129,0,28/02/2019 16:44:59,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,7,option7,Zone1,response_button_text,790.5849999988277,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
21,1551372305310,28/02/2019 16:45:05,1551372305145,0,28/02/2019 16:45:05,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,8,option8,Zone1,response_button_image,5988.484999998036,Google_1_Jason Hershey_19_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
22,1551372305420,28/02/2019 16:45:05,1551372305241,0,28/02/2019 16:45:05,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,16,congratulations,rating19,response_slider_initialValue,0,50,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
23,1551372308498,28/02/2019 16:45:08,1551372308177,0,28/02/2019 16:45:08,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,16,congratulations,rating19,response_slider_endValue,2936.234999997396,1,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
24,1551372308638,28/02/2019 16:45:08,1551372308179,0,28/02/2019 16:45:08,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,16,congratulations,Zone4,continue_button,2936.234999997396,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
25,1551372309356,28/02/2019 16:45:09,1551372309193,0,28/02/2019 16:45:09,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,17,next sequence?,advancementZone,continue_button,1002.8050000000803,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
26,1551372311076,28/02/2019 16:45:11,1551372310793,0,28/02/2019 16:45:10,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,1,option1,Zone1,response_button_text,1180.500000002212,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
27,1551372311513,28/02/2019 16:45:11,1551372311329,0,28/02/2019 16:45:11,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,2,option2,Zone1,response_button_text,512.974999997823,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
