Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,rand_female_face1,rand_female_face2,rand_female_face3,rand_female_face4,rand_female_face5,rand_female_face6,rand_female_face7,rand_female_face8,chosen face,not chosen face,image_female,Participant_preference,face_rating,random number,fixation_times
11,1551370121292,28/02/2019 16:08:41,1551370120273,0,28/02/2019 16:08:40,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,16,congratulations,rating19,response_slider_endValue,8105.634999999893,48,,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
12,1551370121433,28/02/2019 16:08:41,1551370120275,0,28/02/2019 16:08:40,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,16,congratulations,Zone4,continue_button,8105.634999999893,,,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
13,1551370122859,28/02/2019 16:08:42,1551370121860,0,28/02/2019 16:08:41,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,17,next sequence?,advancementZone,continue_button,1563.175000001138,,,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
14,1551370125798,28/02/2019 16:08:45,1551370124799,0,28/02/2019 16:08:44,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,1,option1,Zone1,response_button_text,1800.6349999996019,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
15,1551370126750,28/02/2019 16:08:46,1551370125743,0,28/02/2019 16:08:45,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,2,option2,Zone1,response_button_text,894.7400000015477,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
16,1551370127516,28/02/2019 16:08:47,1551370126519,0,28/02/2019 16:08:46,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,3,option3,Zone1,response_button_text,727.7500000000146,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
17,1551370128281,28/02/2019 16:08:48,1551370127223,0,28/02/2019 16:08:47,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,4,option4,Zone1,response_button_text,657.3200000002544,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
18,1551370129016,28/02/2019 16:08:49,1551370128009,0,28/02/2019 16:08:48,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,5,option5,Zone1,response_button_text,734.2450000014651,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
19,1551370133834,28/02/2019 16:08:53,1551370132825,0,28/02/2019 16:08:52,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,6,option6,Zone9,response_button_image,4753.039999999601,Google_1_Henry Horsley_7_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
20,1551370138470,28/02/2019 16:08:58,1551370137463,0,28/02/2019 16:08:57,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,14,grey6,Zone1,continue_button,4608.1150000009075,,,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
