Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
2,1551370733955,28/02/2019 16:18:53,1551370733870,0,28/02/2019 16:18:53,6235,13,questionnaire-6h95,,2241395,BLIND,610538,Faces,complete,,5c7807b15f2f920017ec4eb5,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 72.0.3626.109,2048x1152,2044x954,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,7068
1,1551370744267,28/02/2019 16:19:04,1551370744105,0,28/02/2019 16:19:04,6235,13,questionnaire-6h95,,2241407,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370747377,28/02/2019 16:19:07,1551370747323,0,28/02/2019 16:19:07,6235,13,questionnaire-6h95,,2241407,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,3217
1,1551370886509,28/02/2019 16:21:26,1551370887091,0,28/02/2019 16:21:27,6235,13,questionnaire-6h95,,2241453,BLIND,610534,Faces,complete,,5c7807ae3bc6a50015922ada,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370907165,28/02/2019 16:21:47,1551370906923,0,28/02/2019 16:21:46,6235,13,questionnaire-6h95,,2241453,BLIND,610534,Faces,complete,,5c7807ae3bc6a50015922ada,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,19832
1,1551370994286,28/02/2019 16:23:14,1551370994187,0,28/02/2019 16:23:14,6235,13,questionnaire-6h95,,2241488,BLIND,610556,Faces,complete,,5c7808ac2ceba0001668ad3c,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.96,1440x900,1457x688,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551371006248,28/02/2019 16:23:26,1551371006182,0,28/02/2019 16:23:26,6235,13,questionnaire-6h95,,2241488,BLIND,610556,Faces,complete,,5c7808ac2ceba0001668ad3c,computer,Desktop or Laptop,Mac OS 10.14.2,Chrome 72.0.3626.96,1440x900,1457x688,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,11995
1,1551371010085,28/02/2019 16:23:30,1551371009729,0,28/02/2019 16:23:29,6235,13,questionnaire-6h95,,2241493,BLIND,610541,Faces,complete,,5c7807c73e1e4e0012a693b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x722,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551371036106,28/02/2019 16:23:56,1551371035789,0,28/02/2019 16:23:55,6235,13,questionnaire-6h95,,2241493,BLIND,610541,Faces,complete,,5c7807c73e1e4e0012a693b8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1536x864,1536x722,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,26060
1,1551371042771,28/02/2019 16:24:02,1551371042204,-6,28/02/2019 10:24:02,6235,13,questionnaire-6h95,,2241503,BLIND,610555,Faces,complete,,5c78085a50ee2e00010bc8df,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 72.0.3626.119,1280x800,1280x720,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
