Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
4,1551369219306,28/02/2019 15:53:39,1551369217968,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-4-quantised,2
5,1551369219306,28/02/2019 15:53:39,1551369217968,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-5,United Kingdom
6,1551369219306,28/02/2019 15:53:39,1551369217969,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-5-quantised,5
7,1551369219306,28/02/2019 15:53:39,1551369217970,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-5-text,
8,1551369219306,28/02/2019 15:53:39,1551369217970,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,Participant_preference,Female
9,1551369219306,28/02/2019 15:53:39,1551369217971,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,Participant_preference-quantised,2
10,1551369219306,28/02/2019 15:53:39,1551369217972,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,36878
1,1551369595446,28/02/2019 15:59:55,1551371360200,0,28/02/2019 16:29:20,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551369612911,28/02/2019 16:00:12,1551371377762,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-3,26
3,1551369612974,28/02/2019 16:00:12,1551371377775,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4,Female
4,1551369612974,28/02/2019 16:00:12,1551371377776,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4-quantised,2
5,1551369612974,28/02/2019 16:00:12,1551371377777,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5,United Kingdom
6,1551369612974,28/02/2019 16:00:12,1551371377778,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-quantised,5
7,1551369612974,28/02/2019 16:00:12,1551371377779,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-text,
8,1551369612974,28/02/2019 16:00:12,1551371377780,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,Participant_preference,Male
9,1551369612974,28/02/2019 16:00:12,1551371377781,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,Participant_preference-quantised,1
10,1551369612974,28/02/2019 16:00:12,1551371377782,0,28/02/2019 16:29:37,6235,13,questionnaire-w4aq,,2240598,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,17583
1,1551369754769,28/02/2019 16:02:34,1551369754500,0,28/02/2019 16:02:34,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551369772916,28/02/2019 16:02:52,1551369772836,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-3,29
3,1551369773056,28/02/2019 16:02:53,1551369772837,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-4,Male
4,1551369773056,28/02/2019 16:02:53,1551369772837,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-4-quantised,1
5,1551369773056,28/02/2019 16:02:53,1551369772837,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-5,United Kingdom
