Subject,BestFitModel,NPositions,LinIntercept,LinSlope,LinSlopeStd,LinR2,LinBIC,QuadIntercept,QuadSlope,QuadTerm,QuadR2,QuadBIC,QuadAdvBIC,QuadAdvR2
2,Biased-prior,7,0.88939492493968,-0.0466618754141475,-0.938007023595605,0.879857176314687,-43.2492571897227,0.772384275099056,0.0313452244796015,-0.00975088748671863,0.99512214754682,-63.731180304172,20.4819231144493,0.115264971232133
3,Biased-prior,7,0.835269923381262,-0.00195136270762121,-0.122683571565329,0.0150512587320248,-44.4854059059078,0.744218908172744,0.0587493140980576,-0.00758758460070986,0.697743814219051,-50.8086982748916,6.32329236898379,0.682692555487026
4,Biased-prior,7,0.889988450563192,-0.019872939308388,-0.631069482819284,0.3982486921458,-38.3722943667674,0.734273891756636,0.0839367665626494,-0.0129762132338797,0.907635094470933,-49.5450642947931,11.1727699280258,0.509386402325133
5,Biased-prior,7,0.854317132466856,-0.0109949001813581,-0.436250304464,0.190314328144935,-39.4128681006862,0.715840465967568,0.0813228774848342,-0.011539722208274,0.819242237832321,-47.9633761116728,8.55050801098665,0.628927909687387
7,Cost-to-sample,7,265.778629064838,-33.1753193751789,-0.999999994390424,0.99999998878085,-65.5183380052987,265.755649345262,-33.1599995621278,-0.00191497663139347,0.99999999877666,-79.0846871294354,13.5663491241367,9.99580984650805e-09
8,Cost-to-sample,7,1.48805243291405,-0.119977233634793,-0.993234622427696,0.986515015189089,-46.1386770193308,1.39470724228088,-0.0577471065460157,-0.00777876588609717,0.998955825501228,-62.1012183424536,15.9625413231228,0.0124408103121394
9,Biased-prior,7,0.794114735670563,-0.0154828493966393,-0.511515820246078,0.261648434362021,-37.4945038209924,0.631002567806653,0.0932585958459672,-0.0135926806553258,0.86663794357031,-47.528060674309,10.0335568533166,0.604989509208289
10,Cost-to-sample,7,174.795221485246,-21.7953404619382,-0.999999991050167,0.999999982100334,-68.1297587091584,174.776657594568,-21.7829645348193,-0.00154699088987005,0.999999997213987,-79.2050423015491,11.0752835923907,1.51136529957796e-08
11,Biased-prior,7,0.889211630480129,-0.0318577929527352,-0.808853200384774,0.654243499772696,-39.1189585234734,0.732952532902977,0.0723149387653665,-0.0130215914647627,0.982155591792155,-57.921360415207,18.8024018917337,0.327912092019459
12,Biased-prior,7,0.721084867207342,-0.0874437419243948,-0.995655343614051,0.991329563267214,-53.6926492702103,0.67840887019119,-0.0589930772469595,-0.00355633308467941,0.996248675200944,-57.6114098565195,3.91876058630916,0.00491911193372974
