Subject,BestFitModel,Source,NObs,MeanStop,LTM_Intercept,LTM_Slope,LTM_Beta,LTM_NLL,LTM_BIC,LTM_Converged,ITM_Beta,ITM_NLL,ITM_BIC,ITM_Converged,LTM_T1,LTM_T2,LTM_T3,LTM_T4,LTM_T5,LTM_T6,LTM_T7,ITM_T1,ITM_T2,ITM_T3,ITM_T4,ITM_T5,ITM_T6,ITM_T7,LinearAdvantageBIC,DeltaNLL_ITMminusLTM
2,Biased-prior,Participants,100,0.39,0.935898743760146,0.18312140001066,0.393286839711318,64.399911212638,142.61533298324,1,0.553134207351472,57.5090153212049,151.859392130315,1,0.935898743760146,1.11902014377081,1.30214154378147,1.48526294379213,1.66838434380279,1.85150574381345,2.03462714382411,-0.0544775966775655,2.64224300556784,1.4756624601018,2.14786919800917,-0.0667792142833799,4.99999999999965,-2.7598460522532,9.24405914707438,-6.89089589143305
2,Biased-prior,Winning model,280,0.423363012967219,1.3167551419723,-0.1981568561712,0.47180557741193,182.805259224391,382.514887258289,1,0.470760218486444,182.639866558834,410.358049943023,1,1.3167551419723,1.1185982858011,0.920441429629899,0.722284573458699,0.5241277172875,0.3259708611163,0.1278140049451,1.16342852366259,1.1425295166905,0.901615408226919,0.919988040466201,0.599727597794449,0.475565729595024,-0.135187113324053,27.8431626847341,-0.165392665556112
3,Biased-prior,Participants,229,0.0960698689956332,2.40709976275504,-0.227883484420621,2.00789062074038,49.2157606412645,114.732687293192,1,2.05216101041603,48.1626805822122,139.795137192858,1,2.40709976275504,2.17921627833441,1.95133279391379,1.72344930949317,1.49556582507255,1.26768234065193,1.03979885623131,2.18341028321857,2.25155763519913,2.13469477081362,1.62180260593434,1.57819266962018,1.50100351660608,0.774579827814819,25.0624498996667,-1.05308005905225
3,Biased-prior,Winning model,280,0.114374342737814,3.58345600892808,-0.420857483391745,1.18429451424849,77.8160790020616,172.536526813631,1,1.20564640962727,77.4976739823824,200.073664790119,1,3.58345600892808,3.16259852553634,2.74174104214459,2.32088355875285,1.9000260753611,1.47916859196936,1.05831110857762,3.89217670956522,2.85854337222736,2.69465483886958,2.10953859259342,1.9519585482303,1.58708396838856,0.992623713028921,27.537137976488,-0.318405019679119
4,Biased-prior,Participants,205,0.131707317073171,3.49808485051731,-0.349807563108591,0.82955169564725,70.3050042264217,156.579038390259,1,0.952377578197585,64.7564556438483,172.096991120804,1,3.49808485051731,3.14827728740871,2.79846972430012,2.44866216119153,2.09885459808294,1.74904703497435,1.39923947186576,3.6188983582964,3.36689994626236,2.52311688057077,1.00229070075573,2.89792728082139,1.16692237071989,2.21424143479148,15.5179527305452,-5.5485485825734
4,Biased-prior,Winning model,280,0.183442085205305,3.16059071876181,-0.408681650544661,1.0255262353514,107.6778545902,232.260077989908,1,1.02969355764014,107.343995943104,259.766308711562,1,3.16059071876181,2.75190906821715,2.34322741767248,1.93454576712782,1.52586411658316,1.1171824660385,0.708500815493839,3.29156936767892,2.66986276345004,2.17540104835957,1.86212753236362,1.64697984522888,1.2964430906693,0.570238765035012,27.5062307216541,-0.333858647096065
5,Biased-prior,Participants,191,0.167539267015707,2.85780527477513,-0.347408009208717,0.988454213828663,71.4120606322768,158.580941548693,1,1.06531760896656,69.1465272021539,180.311241828681,1,2.85780527477513,2.51039726556641,2.1629892563577,1.81558124714898,1.46817323794026,1.12076522873155,0.773357219522829,2.91550798292439,1.81352082240043,2.24087229322113,1.66798881357052,1.55510844046442,1.89533117270114,0.10417788251798,21.7303002799875,-2.26553343012283
5,Biased-prior,Winning model,280,0.183888452343278,3.73604930283266,-0.412708123618489,0.673683894033843,120.912908598109,258.730186005726,1,0.682107552723513,120.477806193756,286.033929212867,1,3.73604930283266,3.32334117921417,2.91063305559569,2.4979249319772,2.08521680835871,1.67250868474022,1.25980056112173,3.70891005525602,3.07820623757648,2.84947833018999,2.41636781940145,2.3210284749224,1.95877797590641,0.947257145609566,27.3037432071407,-0.435102404352776
7,Cost-to-sample,Participants,156,0.25,5,-1.66228831143742,0.540796675438229,71.4422492936656,158.03406660908,1,0.469643371774979,62.6111818826963,165.621211823389,1,5,3.33771168856258,1.67542337712516,0.0131350656877478,-1.64915324574967,-3.31144155718708,-4.9737298686245,5,5,3.12952023099617,-1.22061425787244,-4.74228502610175,5,4.99999999999923,7.58714521430906,-8.83106741096931
7,Cost-to-sample,Winning model,280,0.276820654609176,4.99999999999999,-0.657932176946553,0.310060263783066,161.33438684979,339.573142509087,1,0.277934060507795,160.95132758039,366.980971986133,1,4.99999999999999,4.34206782305344,3.68413564610689,3.02620346916033,2.36827129221378,1.71033911526723,1.05240693832068,5,4.99999999999876,4.71475629227459,3.63882872880123,2.84468729416297,1.6938820224035,0.916120592666102,27.4078294770461,-0.383059269400121
8,Cost-to-sample,Participants,192,0.151041666666667,1.89773253192024,-0.141333669337578,1.68139940766869,62.1555443327762,140.083574781636,1,1.75617859360013,59.0564812600857,160.172925496394,1,1.89773253192024,1.75639886258266,1.61506519324509,1.47373152390751,1.33239785456993,1.19106418523235,1.04973051589477,1.6927481370721,2.06277269361625,1.52152565379603,1.35834458706433,1.39336472167713,2.04713883203627,0.506153293145108,20.089350714758,-3.09906307269047
8,Cost-to-sample,Winning model,280,0.215752283111752,3.175478418353,-0.479440296366397,1.0462865078073,113.397330867536,243.69903054458,1,1.04672311363477,113.346476110616,271.771269046586,1,3.175478418353,2.6960381219866,2.2165978256202,1.73715752925381,1.25771723288741,0.778276936521013,0.298836640154616,3.18887224858005,2.65550626247036,2.22702383006669,1.67170776389212,1.32472219464909,0.821841810752808,0.250597293549338,28.0722385020053,-0.0508547569205007
9,Biased-prior,Participants,226,0.0973451327433628,2.85359967409171,-0.227966715448281,1.40726588679522,49.5854274236032,115.432459845023,1,1.55806426161214,45.8679703092025,135.100220612583,1,2.85359967409171,2.62563295864343,2.39766624319515,2.16969952774687,1.94173281229859,1.71376609685031,1.48579938140203,2.04038760969257,3.03806893698211,2.29073647174999,2.45668860458045,2.39682037416682,1.73948517129918,0.878311902975232,19.6677607675601,-3.71745711440067
9,Biased-prior,Winning model,280,0.127632749632833,4.59077853098167,-0.571968697420871,0.857844504733917,85.2853521981947,187.475073205897,1,0.884299045269032,84.5915671175935,214.261451060541,1,4.59077853098167,4.0188098335608,3.44684113613993,2.87487243871906,2.30290374129819,1.73093504387732,1.15896634645645,4.3257343313117,3.80756341218805,3.21812340797243,2.65389524151764,2.53235677091506,2.04809702249254,0.843715792710735,26.7863778546437,-0.693785080601245
