Subject,Model,BestFitModel,Mode,NPoints,LinearIntercept,LinearSlope,LinearR2,LinearSSE,LinearAIC,LinearBIC,QuadIntercept,QuadSlope,QuadTerm,QuadR2,QuadSSE,QuadAIC,QuadBIC,DeltaBIC_QuadMinusLinear
1,Biased-prior,Cut off,stop_aligned,8,0.862018989770482,0.00811479851590576,0.459880259638943,0.00324825454611546,-58.472632250591,-58.3137491672314,0.839519618632422,-0.0143845726221534,-0.00321419587686557,0.748478684412395,0.00151263728345909,-62.5867371834778,-62.3484125584383,-4.03466339120693
1,Cost-to-sample,Cut off,stop_aligned,8,391.930189546139,-40.6920686944217,0.608070194823247,44825.3204997268,73.0486952543178,73.2075783376775,458.967840999735,26.3455827591742,9.57680735051371,0.742791310948725,29417.1603428793,71.6791354120078,71.9174600370473,-1.29011830063017
2,Biased-prior,Biased-prior,stop_aligned,8,0.751066084287094,-0.0141691987535871,0.901464377658254,0.000921689349411142,-68.5499509126876,-68.391067829328,0.753236712902634,-0.0119985701380464,0.000310089802220109,0.903191380072385,0.000905535194257065,-66.6914076469417,-66.4530830219022,1.93798480742579
2,Cost-to-sample,Biased-prior,stop_aligned,8,0.759844483224638,-0.014973869085823,0.908059781248561,0.000953473102237906,-68.2787270760445,-68.1198439926848,0.765466620976604,-0.00935173133385661,0.000803162535995211,0.918509708165534,0.000845101332287891,-67.2439644768754,-67.0056398518359,1.11420414084897
3,Biased-prior,Biased-prior,stop_aligned,8,0.836856144307264,0.00233050010137356,0.0921561330156456,0.00224716242197409,-61.4202283691883,-61.2613452858286,0.814388906874459,-0.0201367373314305,-0.00320960534754343,0.791336543459559,0.000516499252161589,-71.1830260718537,-70.9447014468142,-9.68335616098557
3,Cost-to-sample,Biased-prior,stop_aligned,8,0.963401403474966,-0.105408468526079,0.920912940246859,0.0400762568987206,-38.3713020719763,-38.2124189886166,1.02494991660077,-0.0438599554002709,0.00879264473225833,0.946544002849539,0.0270880758655853,-39.5048255565349,-39.2665009314953,-1.05408194287874
4,Biased-prior,Biased-prior,stop_aligned,8,0.817717505252013,-0.00243886299721087,0.0940687129663877,0.00240588107546423,-60.8742450612017,-60.715361977842,0.802454180989979,-0.017702187259245,-0.00218047489457628,0.394837362404442,0.00160712998679683,-62.1019747945138,-61.8636501694743,-1.14828819163226
4,Cost-to-sample,Biased-prior,stop_aligned,8,1.25496505486951,-0.101941062803366,0.932980010561736,0.0313530374132662,-40.3350853687262,-40.1762022853666,1.31968495056481,-0.0372211671080674,0.00924569938504273,0.963678255956514,0.0169919006173448,-43.2356801952837,-42.9973555702442,-2.82115328487765
5,Biased-prior,Biased-prior,stop_aligned,8,0.811502681459005,-0.00157482884212117,0.0891592501254054,0.00106412355213033,-67.4003625284859,-67.2414794451262,0.800451789119265,-0.0126257211818612,-0.00157869890567713,0.447551239762888,0.000645418792686263,-69.4004216204806,-69.1620969954411,-1.9206175503149
5,Cost-to-sample,Biased-prior,stop_aligned,8,1.11236746147833,-0.0860891129266915,0.972964806138149,0.00864924327971772,-50.6377998852682,-50.4789168019085,1.15748567711902,-0.0409708972859977,0.00644545937724202,0.994780468739299,0.0016698602536599,-61.7956550254231,-61.5573304003836,-11.078413598475
6,Biased-prior,Cut off,stop_aligned,8,0.911005551785653,0.00328301831312597,0.111994107268499,0.00358935634499338,-57.6737914025964,-57.5149083192367,0.886435505866262,-0.0212870276062643,-0.00351000655991288,0.624058301637392,0.00151957180848733,-62.550145843461,-62.3118212184215,-4.79691289918476
6,Cost-to-sample,Cut off,stop_aligned,8,3.47247804366786,-0.694804117113299,0.557439324663048,16.0971605319891,9.59361080227048,9.75249388563016,5.06536852677622,0.898086365995056,0.227555783301194,0.796610359576381,7.39784593366732,5.37397860888321,5.61230323392271,-4.14019065170744
7,Biased-prior,Cost-to-sample,stop_aligned,8,0.767040603454796,0.023543341716825,0.923412807569013,0.00193083764771602,-62.6339431803323,-62.4750600969726,0.750391060829703,0.00689379909173194,-0.00237850608929898,0.961111666747806,0.000980412723288213,-66.0558277633937,-65.8175031383541,-3.34244304138153
7,Cost-to-sample,Cost-to-sample,stop_aligned,8,160.08526233061,-9.03768831740169,0.453190259126902,4139.23120840054,53.9905904755316,54.1494735588913,146.987739497801,-22.1352111502105,-1.87107469040126,0.530887945488606,3551.07656489444,54.7645164202643,55.0028410453038,0.853367486412523
8,Biased-prior,Cost-to-sample,stop_aligned,8,0.76881999833746,-0.0113776174236005,0.69186183724606,0.00242146421959649,-60.8225953123355,-60.6637122289759,0.748906269342818,-0.0312913464182416,-0.00284481842780585,0.864877658841844,0.00106184158254965,-65.4175366235439,-65.1792119985044,-4.51549976952855
8,Cost-to-sample,Cost-to-sample,stop_aligned,8,0.922975018048995,-0.0590664844081991,0.941104797959451,0.00917008717572877,-50.1700002225299,-50.0111171391702,0.952323209703887,-0.0297182927533068,0.00419259880784177,0.960071086196266,0.00621700253545799,-51.279271500386,-51.0409468753465,-1.02982973617628
9,Biased-prior,Biased-prior,stop_aligned,8,0.713462642138467,-0.00712942423774212,0.300906273265848,0.00495977950873726,-55.0866842783749,-54.9278011950152,0.682742168233577,-0.0378498981426318,-0.00438863912926995,0.75698735570829,0.00172407373636814,-61.5400550305595,-61.30173040552,-6.37392921050481
9,Cost-to-sample,Biased-prior,stop_aligned,8,0.844619201248326,-0.108080236637052,0.922739980906288,0.0410787610808162,-38.1736447580099,-38.0147616746502,0.911993839520279,-0.0407055983650996,0.0096249483245647,0.952011385921861,0.0255153031987252,-39.9833473844852,-39.7450227594457,-1.73026108479547
