Subject,BestFitModel,Position,MeanThreshold,NObs
64,Cost-to-sample,5,1.47215002582259,40
64,Cost-to-sample,6,1.16821067722898,40
64,Cost-to-sample,7,0.850841823212057,40
2,Biased-prior,1,0.795136198921305,40
2,Biased-prior,2,0.798198514753585,40
2,Biased-prior,3,0.776260715109134,40
2,Biased-prior,4,0.732576786458637,40
2,Biased-prior,5,0.688631038070146,40
2,Biased-prior,6,0.622383337292523,40
2,Biased-prior,7,0.506045372376299,40
3,Biased-prior,1,0.808372397140441,40
3,Biased-prior,2,0.822935325372424,40
3,Biased-prior,3,0.836098506495052,40
3,Biased-prior,4,0.849011796806242,40
3,Biased-prior,5,0.860607735360982,40
3,Biased-prior,6,0.853836182554053,40
3,Biased-prior,7,0.761389364126247,40
4,Biased-prior,1,0.822310889073499,40
4,Biased-prior,2,0.836901700058359,40
4,Biased-prior,3,0.848853269989248,40
4,Biased-prior,4,0.856179696743053,40
4,Biased-prior,5,0.848150015450905,40
4,Biased-prior,6,0.79824682473656,40
4,Biased-prior,7,0.662834457255858,40
5,Biased-prior,1,0.803600907361173,40
5,Biased-prior,2,0.819440733359267,40
5,Biased-prior,3,0.833612325439921,40
5,Biased-prior,4,0.847349459985676,40
5,Biased-prior,5,0.854645014290581,40
5,Biased-prior,6,0.820348550386685,40
5,Biased-prior,7,0.693365731366665,40
9,Biased-prior,1,0.730037079935045,40
9,Biased-prior,2,0.748361107305414,40
9,Biased-prior,3,0.764819764698932,40
9,Biased-prior,4,0.779482211954432,40
9,Biased-prior,5,0.777791207044574,40
9,Biased-prior,6,0.734033757984512,40
9,Biased-prior,7,0.590758237665131,40
11,Biased-prior,1,0.802412894584818,40
11,Biased-prior,2,0.816812407610208,40
11,Biased-prior,3,0.820927484190458,40
11,Biased-prior,4,0.811854158752839,40
11,Biased-prior,5,0.780009842317405,40
11,Biased-prior,6,0.711576331514433,40
11,Biased-prior,7,0.588870091714157,40
12,Biased-prior,1,0.627787323323101,40
12,Biased-prior,2,0.533595453780572,40
12,Biased-prior,3,0.458844286009855,40
12,Biased-prior,4,0.384513277310825,40
12,Biased-prior,5,0.308172492348968,40
12,Biased-prior,6,0.205969494076782,40
12,Biased-prior,7,0.080286969718239,40
16,Biased-prior,1,0.671009929225401,40
16,Biased-prior,2,0.690120943931195,40
16,Biased-prior,3,0.707531315817795,40
16,Biased-prior,4,0.719936778894366,40
16,Biased-prior,5,0.718489711982238,40
16,Biased-prior,6,0.675425907283301,40
16,Biased-prior,7,0.536743823980617,40
17,Biased-prior,1,0.82106759441362,40
17,Biased-prior,2,0.834242705100678,40
17,Biased-prior,3,0.846030828061611,40
17,Biased-prior,4,0.856944446199568,40
17,Biased-prior,5,0.865268115372306,40
17,Biased-prior,6,0.849927312153503,40
17,Biased-prior,7,0.747414881520281,40
18,Biased-prior,1,0.884773686125053,40
18,Biased-prior,2,0.889928717799348,40
18,Biased-prior,3,0.883046024354915,40
18,Biased-prior,4,0.864069482509499,40
18,Biased-prior,5,0.827339881900933,40
18,Biased-prior,6,0.761098557829516,40
18,Biased-prior,7,0.651439799697292,40
19,Biased-prior,1,0.868961976923996,40
19,Biased-prior,2,0.880219399362223,40
19,Biased-prior,3,0.888652672599825,40
19,Biased-prior,4,0.893145542380533,40
19,Biased-prior,5,0.884476261382295,40
19,Biased-prior,6,0.839437435037468,40
19,Biased-prior,7,0.712782456803494,40
20,Biased-prior,1,0.814583344585085,40
20,Biased-prior,2,0.825999951289536,40
20,Biased-prior,3,0.824749876391549,40
20,Biased-prior,4,0.806801375035195,40
20,Biased-prior,5,0.777507168499992,40
20,Biased-prior,6,0.714778532721654,40
20,Biased-prior,7,0.596822354488139,40
21,Biased-prior,1,0.750177043303343,40
21,Biased-prior,2,0.76498909568252,40
21,Biased-prior,3,0.780194944166978,40
21,Biased-prior,4,0.796869269737004,40
21,Biased-prior,5,0.817182937985838,40
21,Biased-prior,6,0.842663847391843,40
21,Biased-prior,7,0.812895530354225,40
23,Biased-prior,1,0.788119521818753,40
23,Biased-prior,2,0.804487533751879,40
23,Biased-prior,3,0.815912957244189,40
23,Biased-prior,4,0.818423785976235,40
23,Biased-prior,5,0.800816006522271,40
23,Biased-prior,6,0.745467256613845,40
23,Biased-prior,7,0.605521430690434,40
24,Biased-prior,1,0.785082613527735,40
24,Biased-prior,2,0.797464423313411,40
24,Biased-prior,3,0.798935778776278,40
24,Biased-prior,4,0.786019537521672,40
24,Biased-prior,5,0.754307874059655,40
24,Biased-prior,6,0.686926533116947,40
24,Biased-prior,7,0.568599579833769,40
25,Biased-prior,1,0.598265789576795,40
25,Biased-prior,2,0.485610008860216,40
25,Biased-prior,3,0.38675349042384,40
25,Biased-prior,4,0.295295589605387,40
25,Biased-prior,5,0.198788456832118,40
25,Biased-prior,6,0.104610733343825,40
25,Biased-prior,7,0,40
27,Biased-prior,1,0.832864577912383,40
27,Biased-prior,2,0.847465626560881,40
27,Biased-prior,3,0.862182639352996,40
27,Biased-prior,4,0.879721509250011,40
27,Biased-prior,5,0.898623287550234,40
27,Biased-prior,6,0.917454153264846,40
27,Biased-prior,7,0.875726334824608,40
28,Biased-prior,1,0.738329535099641,40
28,Biased-prior,2,0.700393207425638,40
28,Biased-prior,3,0.649750840731354,40
28,Biased-prior,4,0.597486810464713,40
28,Biased-prior,5,0.517845576903895,40
28,Biased-prior,6,0.413097550746892,40
28,Biased-prior,7,0.252679619440406,40
29,Biased-prior,1,0.742539778527213,40
29,Biased-prior,2,0.757637020978241,40
29,Biased-prior,3,0.772530204759282,40
29,Biased-prior,4,0.789611340397047,40
29,Biased-prior,5,0.809881023804365,40
29,Biased-prior,6,0.830531047852243,40
29,Biased-prior,7,0.795211127750574,40
32,Biased-prior,1,0.655879151685381,40
32,Biased-prior,2,0.639577077314107,40
32,Biased-prior,3,0.60725266309962,40
32,Biased-prior,4,0.56268539395119,40
32,Biased-prior,5,0.49902308827117,40
32,Biased-prior,6,0.407802342365016,40
32,Biased-prior,7,0.26198582502177,40
36,Biased-prior,1,0.781484346071485,40
36,Biased-prior,2,0.792331675520946,40
36,Biased-prior,3,0.788821141543626,40
36,Biased-prior,4,0.766786516349077,40
36,Biased-prior,5,0.719373357676681,40
36,Biased-prior,6,0.653852663880278,40
36,Biased-prior,7,0.528686314083462,40
40,Biased-prior,1,0.805915849044637,40
40,Biased-prior,2,0.821485184601122,40
40,Biased-prior,3,0.824848313287593,40
40,Biased-prior,4,0.813352491813792,40
40,Biased-prior,5,0.777248628256555,40
40,Biased-prior,6,0.708447028914443,40
40,Biased-prior,7,0.582833815668226,40
41,Biased-prior,1,0.817718662132944,40
41,Biased-prior,2,0.83203015061401,40
41,Biased-prior,3,0.845756527155812,40
41,Biased-prior,4,0.861032294473196,40
41,Biased-prior,5,0.878458364011423,40
41,Biased-prior,6,0.888950875959318,40
41,Biased-prior,7,0.827316574484316,40
42,Biased-prior,1,0.888510652346859,40
42,Biased-prior,2,0.897430569707965,40
42,Biased-prior,3,0.899556037379034,40
42,Biased-prior,4,0.892262084675393,40
42,Biased-prior,5,0.867424781553495,40
42,Biased-prior,6,0.809238880200853,40
42,Biased-prior,7,0.695270830154009,40
43,Biased-prior,1,0.687900271581958,40
43,Biased-prior,2,0.706436246734509,40
43,Biased-prior,3,0.712892975116005,40
43,Biased-prior,4,0.704408178888257,40
43,Biased-prior,5,0.677445743437635,40
43,Biased-prior,6,0.610615088563758,40
43,Biased-prior,7,0.483264111332088,40
44,Biased-prior,1,0.611893113379395,40
44,Biased-prior,2,0.553243089362072,40
44,Biased-prior,3,0.486323764702039,40
44,Biased-prior,4,0.423268919874745,40
44,Biased-prior,5,0.357514052772779,40
44,Biased-prior,6,0.269873600732444,40
44,Biased-prior,7,0.142696562814826,40
45,Biased-prior,1,0.731002901174756,40
45,Biased-prior,2,0.74744907342041,40
45,Biased-prior,3,0.759555246014594,40
45,Biased-prior,4,0.762158037060034,40
45,Biased-prior,5,0.744459168600275,40
45,Biased-prior,6,0.693824465277938,40
45,Biased-prior,7,0.564119406262461,40
47,Biased-prior,1,0.802234540979391,40
47,Biased-prior,2,0.81278806888961,40
47,Biased-prior,3,0.806925034814826,40
47,Biased-prior,4,0.777908752946789,40
47,Biased-prior,5,0.728958510269111,40
47,Biased-prior,6,0.658666032423477,40
47,Biased-prior,7,0.546068966142461,40
48,Biased-prior,1,0.684612670020833,40
48,Biased-prior,2,0.627214678922947,40
48,Biased-prior,3,0.5617315555817,40
48,Biased-prior,4,0.489155479544311,40
48,Biased-prior,5,0.409141968870208,40
48,Biased-prior,6,0.318240572912433,40
48,Biased-prior,7,0.186757931728017,40
50,Biased-prior,1,0.8117699267143,40
50,Biased-prior,2,0.81737264487139,40
50,Biased-prior,3,0.810466719541718,40
50,Biased-prior,4,0.783885367100908,40
50,Biased-prior,5,0.741875277042299,40
50,Biased-prior,6,0.676056171751937,40
50,Biased-prior,7,0.572422497450705,40
51,Biased-prior,1,0.724167231009676,40
51,Biased-prior,2,0.740808683647732,40
51,Biased-prior,3,0.757913933375312,40
51,Biased-prior,4,0.778255214853715,40
51,Biased-prior,5,0.802422336306444,40
51,Biased-prior,6,0.82850520656734,40
51,Biased-prior,7,0.800094430659258,40
53,Biased-prior,1,0.812378086831136,40
53,Biased-prior,2,0.826932423271302,40
53,Biased-prior,3,0.840172997014117,40
53,Biased-prior,4,0.853335548763452,40
53,Biased-prior,5,0.865210595642299,40
53,Biased-prior,6,0.854425356299103,40
53,Biased-prior,7,0.759553315868178,40
54,Biased-prior,1,0.737872700329822,40
54,Biased-prior,2,0.752767424880066,40
54,Biased-prior,3,0.757856523732601,40
54,Biased-prior,4,0.748956185503321,40
