Subject,Model,BestFitModel,Position,MeanThreshold,NObs
8,Cost-to-sample,Cost-to-sample,5,0.916916237322907,40
8,Cost-to-sample,Cost-to-sample,6,0.781844367527369,40
8,Cost-to-sample,Cost-to-sample,7,0.599353072479037,40
9,Biased-prior,Biased-prior,1,0.730037079935045,40
9,Biased-prior,Biased-prior,2,0.748361107305414,40
9,Biased-prior,Biased-prior,3,0.764819764698932,40
9,Biased-prior,Biased-prior,4,0.779482211954432,40
9,Biased-prior,Biased-prior,5,0.777791207044574,40
9,Biased-prior,Biased-prior,6,0.734033757984512,40
9,Biased-prior,Biased-prior,7,0.590758237665131,40
9,Cost-to-sample,Biased-prior,1,1.62645000180948,40
9,Cost-to-sample,Biased-prior,2,1.47532592705812,40
9,Cost-to-sample,Biased-prior,3,1.31569183471873,40
9,Cost-to-sample,Biased-prior,4,1.16177250171863,40
9,Cost-to-sample,Biased-prior,5,0.976818391382138,40
9,Cost-to-sample,Biased-prior,6,0.787084585352996,40
9,Cost-to-sample,Biased-prior,7,0.557123304307909,40
10,Biased-prior,Cost-to-sample,1,0.767001026317681,40
10,Biased-prior,Cost-to-sample,2,0.783829569158695,40
10,Biased-prior,Cost-to-sample,3,0.802046244627753,40
10,Biased-prior,Cost-to-sample,4,0.821846617163924,40
10,Biased-prior,Cost-to-sample,5,0.840610601288924,40
10,Biased-prior,Cost-to-sample,6,0.839498977870109,40
10,Biased-prior,Cost-to-sample,7,0.74620551012952,40
10,Cost-to-sample,Cost-to-sample,1,152.991127944584,40
10,Cost-to-sample,Cost-to-sample,2,131.20617208359,40
10,Cost-to-sample,Cost-to-sample,3,109.414811695564,40
10,Cost-to-sample,Cost-to-sample,4,87.6188673297334,40
10,Cost-to-sample,Cost-to-sample,5,65.819833863328,40
10,Cost-to-sample,Cost-to-sample,6,44.027440738066,40
10,Cost-to-sample,Cost-to-sample,7,22.2187638075885,40
11,Biased-prior,Biased-prior,1,0.802412894584818,40
11,Biased-prior,Biased-prior,2,0.816812407610208,40
11,Biased-prior,Biased-prior,3,0.820927484190458,40
11,Biased-prior,Biased-prior,4,0.811854158752839,40
11,Biased-prior,Biased-prior,5,0.780009842317405,40
11,Biased-prior,Biased-prior,6,0.711576331514433,40
11,Biased-prior,Biased-prior,7,0.588870091714157,40
11,Cost-to-sample,Biased-prior,1,1.23974547312874,40
11,Cost-to-sample,Biased-prior,2,1.16598415737122,40
11,Cost-to-sample,Biased-prior,3,1.07632583482664,40
