Subject,Sequence,Model,BestFitModel,NPoints,LinearSlope,LinearR2,LinearBIC,QuadTerm,QuadR2,QuadBIC,DeltaBIC_QuadMinusLinear
1,25,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,25,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,26,Biased-prior,Cut off,5,0.0222451436535767,0.995552961668377,-58.4270038019251,0.00121324131638777,0.999698838142791,-70.2792946810883,-11.8522908791632
1,26,Cost-to-sample,Cut off,5,-99.9873690861377,0.999999997444646,-46.1903256632095,0.00306284639663457,0.999999998758322,-48.1895229452018,-1.99919728199222
1,27,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,27,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,28,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,28,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,29,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,29,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,30,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,30,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,31,Biased-prior,Cut off,7,0.0218200893014507,0.929219310816681,-57.9763680544572,0.00340544506411369,0.997120001431353,-78.443032808289,-20.4666647538318
1,31,Cost-to-sample,Cut off,7,-99.9971237388652,0.999999995762355,-56.8869459548836,0.00261432563680839,0.999999997812882,-59.5709981187161,-2.68405216383258
1,32,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,32,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,33,Biased-prior,Cut off,7,0.0205916637423901,0.984243352744793,-69.7065605470299,0.00135931852880865,0.997110531765458,-79.6339792841264,-9.92741873709654
1,33,Cost-to-sample,Cut off,7,-100.007055612291,0.999999990517611,-51.2475556783951,-0.00452656118607171,0.999999996663671,-56.6136009127663,-5.36604523437121
1,34,Biased-prior,Cut off,7,0.0182800147684601,0.950904609847085,-63.1769161072768,0.00195082713637175,0.983394085261885,-68.8190493726586,-5.64213326538178
1,34,Cost-to-sample,Cut off,7,-100.008290994415,0.999999998495181,-64.1327299140528,-0.0009750809450621,0.999999998780369,-63.6576875188819,0.475042395170874
1,35,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,35,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,36,Biased-prior,Cut off,7,0.0151129124586398,0.958055489613476,-66.994906912317,0.00165524878826377,0.992533495720888,-77.1304412562644,-10.1355343439474
1,36,Cost-to-sample,Cut off,7,-100.006540712919,0.999999981532607,-46.581635078096,0.00499230614882021,0.999999989008565,-48.2679570330838,-1.68632195498774
1,37,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,37,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,38,Biased-prior,Cut off,7,0.0207383785286222,0.984961221231769,-69.9386798991355,0.000400309293734569,0.986062208098702,-68.5249666160653,1.41371328307018
1,38,Cost-to-sample,Cut off,7,-99.9996004603714,0.999999998213078,-62.9311905382184,-0.000732825499297231,0.999999998374189,-61.6466961282435,1.28449440997489
1,39,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,39,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40,Biased-prior,Cut off,7,0.033269134879464,0.945873766407972,-54.0734028690336,0.00408016950884209,0.988554102616828,-63.0033060526648,-8.92990318363117
1,40,Cost-to-sample,Cut off,7,-100.008232492489,0.99999999797417,-62.0515895076722,0.001889297946806,0.999999999044828,-65.3685819289534,-3.31699242128119
2,1,Biased-prior,Biased-prior,2,0.0350042253332957,1,-72.0873067782343,NaN,NaN,NaN,NaN
2,1,Cost-to-sample,Biased-prior,2,0.0296186586907219,1,-72.0873067782343,NaN,NaN,NaN,NaN
2,2,Biased-prior,Biased-prior,7,-0.0438502765496928,0.799873854468228,-39.8803016881053,-0.0124246482380736,0.992522644900568,-60.9438728748559,-21.0635711867506
2,2,Cost-to-sample,Biased-prior,7,-0.0498707583057174,0.875624251798145,-42.0420144887357,-0.0105929187429823,0.994140630820827,-61.4829611734341,-19.4409466846984
2,3,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,3,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
