Position,N_decisions,Cost_to_sample_mean_NLL,Cut_off_mean_NLL,Biased_prior_mean_NLL,Cost_to_sample_delta_NLL,Cut_off_delta_NLL,Biased_prior_delta_NLL,Best_model
1,2560,0.439224033197598,0.49924240915034,0.43784840679811,0.00137562639948796,0.0613940023522297,0,Biased prior
2,1715,0.265225128069993,0.308132939449806,0.274293315170607,0,0.0429078113798126,0.00906818710061386,Cost to sample
3,1554,0.332541466949585,0.373275480387204,0.34256615223046,0,0.0407340134376192,0.0100246852808755,Cost to sample
4,1350,0.385684831167636,0.397075942537626,0.391337993716208,0,0.0113911113699899,0.00565316254857162,Cost to sample
5,1140,0.3909952214608,0.527133331210602,0.386766995376175,0.00422822608462436,0.140366335834427,0,Biased prior
6,954,0.420111452594286,0.496689606671725,0.384458443563251,0.0356530090310345,0.112231163108474,0,Biased prior
7,805,0.546653372227386,0.557543374091725,0.51095906672401,0.0356943055033756,0.0465843073677152,0,Biased prior
8,642,-0,0.152704477413638,-0,0,0.152704477413638,0,Cost to sample
