Position,N_decisions,N_participants,Stop_rate,Mean_value,Prop_best_so_far,N_decisions_Cs_winners,Prop_decisions_Cs_winners,N_decisions_Cutoff_winners,Prop_decisions_Cutoff_winners,N_decisions_BP_winners,Prop_decisions_BP_winners
1,2560,64,0.330078125,50.19296875,1,800,0.3125,280,0.109375,1480,0.578125
2,1715,63,0.0938775510204082,48.402915451895,0.485714285714286,483,0.281632653061224,209,0.121865889212828,1023,0.596501457725948
3,1554,62,0.131274131274131,49.4610682110682,0.347490347490348,453,0.291505791505791,197,0.126769626769627,904,0.581724581724582
4,1350,61,0.155555555555556,49.2251851851852,0.279259259259259,383,0.283703703703704,180,0.133333333333333,787,0.582962962962963
5,1140,61,0.163157894736842,49.8508771929825,0.26140350877193,320,0.280701754385965,147,0.128947368421053,673,0.590350877192982
6,954,61,0.156184486373166,48.7641509433962,0.19496855345912,254,0.266247379454927,131,0.137316561844864,569,0.59643605870021
7,805,60,0.202484472049689,49.5329192546584,0.185093167701863,202,0.250931677018634,122,0.151552795031056,481,0.597515527950311
8,642,60,1,49.5880062305296,0.168224299065421,163,0.253894080996885,107,0.166666666666667,372,0.579439252336449
